"filename", "language", "HTML", "PostCSS", "JSON", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\ISHAN\Desktop\own\README.md", "Markdown", 0, 0, 0, 0, 65, 0, 25, 90
"c:\Users\ISHAN\Desktop\own\app.js", "JavaScript", 0, 0, 0, 17, 0, 2, 11, 30
"c:\Users\ISHAN\Desktop\own\controlles\authControlles.js", "JavaScript", 0, 0, 0, 220, 0, 1, 49, 270
"c:\Users\ISHAN\Desktop\own\middelware\authMiddelware.js", "JavaScript", 0, 0, 0, 67, 0, 0, 7, 74
"c:\Users\ISHAN\Desktop\own\models\Books.js", "JavaScript", 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\ISHAN\Desktop\own\models\Borrow.js", "JavaScript", 0, 0, 0, 27, 0, 0, 3, 30
"c:\Users\ISHAN\Desktop\own\models\User.js", "JavaScript", 0, 0, 0, 42, 0, 0, 7, 49
"c:\Users\ISHAN\Desktop\own\package-lock.json", "JSON", 0, 0, 1442, 0, 0, 0, 1, 1443
"c:\Users\ISHAN\Desktop\own\package.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 36
"c:\Users\ISHAN\Desktop\own\public\style.css", "PostCSS", 0, 201, 0, 0, 0, 0, 27, 228
"c:\Users\ISHAN\Desktop\own\routes\authRoutes.js", "JavaScript", 0, 0, 0, 20, 0, 0, 7, 27
"c:\Users\ISHAN\Desktop\own\views\Books.ejs", "HTML", 59, 0, 0, 0, 0, 0, 9, 68
"c:\Users\ISHAN\Desktop\own\views\index.ejs", "HTML", 72, 0, 0, 0, 0, 3, 47, 122
"c:\Users\ISHAN\Desktop\own\views\login.ejs", "HTML", 45, 0, 0, 0, 0, 0, 9, 54
"c:\Users\ISHAN\Desktop\own\views\partials\header.ejs", "HTML", 29, 0, 0, 0, 0, 0, 6, 35
"c:\Users\ISHAN\Desktop\own\views\signup.ejs", "HTML", 44, 0, 0, 0, 0, 0, 8, 52
"c:\Users\ISHAN\Desktop\own\views\users.ejs", "HTML", 40, 0, 0, 0, 0, 0, 20, 60
"c:\Users\ISHAN\Desktop\own\views\viewbooks.ejs", "HTML", 29, 0, 0, 0, 0, 0, 7, 36
"Total", "-", 318, 201, 1478, 416, 65, 6, 246, 2730
